synset,rating,words
1034312,0.0,"[""['discourse'"", "" 'talk about'"", "" 'discuss']""]"
146856,0.0,"[""['merging'"", "" 'meeting'"", "" 'coming together']""]"
829378,0.0,"[""['care'"", "" 'charge'"", "" 'tutelage'"", "" 'guardianship']""]"
8164585,0.0,"[""['administration'"", "" 'governance'"", "" 'governing body'"", "" 'establishment'"", "" 'brass'"", "" 'organization'"", "" 'organisation']""]"
1204318,0.0,"[""['nonhierarchical'"", "" 'nonhierarchic']""]"
161987,0.0,"[""['commute'"", "" 'convert'"", "" 'exchange']""]"
8369406,0.0,"[""['coevals'"", "" 'contemporaries'"", "" 'generation']""]"
812149,0.0,"[""['shun'"", "" 'eschew']""]"
2716767,0.0,"[""['company'"", "" 'companion'"", "" 'accompany'"", "" 'keep company']""]"
2633534,0.0,"[""['equate'"", "" 'correspond']""]"
8310309,0.0,"[""['covey']""]"
13263920,0.0,"[""['birthright'"", "" 'patrimony']""]"
5863106,0.0,"[""['convergence'"", "" 'convergency']""]"
871255,0.0,"[""['exogamous'"", "" 'exogamic']""]"
482473,0.0,"[""['harmonize'"", "" 'harmonise'"", "" 'reconcile']""]"
175641,0.0,"[""['symmetrically']""]"
1291527,0.0,"[""['cross-link']""]"
1026262,0.0,"[""['compromising'"", "" 'conciliatory'"", "" 'flexible']""]"
49266,0.0,"[""['incremental']""]"
4656051,0.0,"[""['neighborliness'"", "" 'neighbourliness'"", "" 'good-neighborliness'"", "" 'good-neighbourliness']""]"
2885370,0.0,"[""['client-server']""]"
2477211,0.0,"[""['conjugate'"", "" 'conjugated'"", "" 'coupled']""]"
116705,0.0,"[""['in concert'"", "" 'together']""]"
1499006,0.0,"[""['reposition']""]"
257634,0.0,"[""['tandem'"", "" 'in tandem']""]"
4922787,0.0,"[""['ancestry'"", "" 'lineage'"", "" 'derivation'"", "" 'filiation']""]"
5655119,0.0,"[""['touch'"", "" 'sense of touch'"", "" 'skin senses'"", "" 'touch modality'"", "" 'cutaneous senses']""]"
7970406,0.0,"[""['family'"", "" 'family unit']""]"
1014953,0.0,"[""['in-between'"", "" 'mediate'"", "" 'middle']""]"
1354673,0.0,"[""['connect'"", "" 'link'"", "" 'tie'"", "" 'link up']""]"
8102402,0.0,"[""['genealogy'"", "" 'family tree']""]"
7414922,0.0,"[""['meeting'"", "" 'encounter']""]"
2027226,0.0,"[""['huddle'"", "" 'huddle together']""]"
2604913,0.0,"[""['ancestral']""]"
14429484,0.0,"[""['ranking']""]"
1277097,0.0,"[""['cardinal'"", "" 'central'"", "" 'fundamental'"", "" 'key'"", "" 'primal']""]"
1584857,0.0,"[""['nymphomaniacal'"", "" 'nymphomaniac']""]"
1232684,0.0,"[""['visit']""]"
13792692,0.0,"[""['link'"", "" 'nexus']""]"
513048,0.0,"[""['matched']""]"
6308765,0.0,"[""['ending'"", "" 'termination']""]"
13842622,0.0,"[""['symbiosis'"", "" 'mutualism']""]"
411384,0.0,"[""['cooperation']""]"
255582,0.0,"[""['entangled']""]"
7985628,0.0,"[""['couple'"", "" 'twosome'"", "" 'duo'"", "" 'duet']""]"
13841467,0.0,"[""['complementarity']""]"
117346,0.0,"[""['receive']""]"
1559903,0.0,"[""['moved'"", "" 'affected'"", "" 'stirred'"", "" 'touched']""]"
247830,0.0,"[""['proliferate']""]"
2835654,0.0,"[""['residual'"", "" 'residuary']""]"
2023600,0.0,"[""['congregate']""]"
1220885,0.0,"[""['cling'"", "" 'cleave'"", "" 'adhere'"", "" 'stick'"", "" 'cohere']""]"
2994419,0.0,"[""['centerpiece'"", "" 'centrepiece']""]"
1429953,0.0,"[""['crossbreed'"", "" 'cross'"", "" 'hybridize'"", "" 'hybridise'"", "" 'interbreed']""]"
240754,0.0,"[""['authorship'"", "" 'paternity']""]"
138078,0.0,"[""['kiss']""]"
13811740,0.0,"[""['rapport'"", "" 'resonance']""]"
2329355,0.0,"[""['subordinate']""]"
253361,0.0,"[""['fettered'"", "" 'shackled']""]"
877559,0.0,"[""['consult'"", "" 'confer with']""]"
13971065,0.0,"[""['agreement'"", "" 'accord']""]"
3578055,0.0,"[""['intercommunication system'"", "" 'intercom']""]"
2276746,0.0,"[""['arrogate'"", "" 'assign']""]"
56930,0.0,"[""['give birth'"", "" 'deliver'"", "" 'bear'"", "" 'birth'"", "" 'have']""]"
1065456,0.0,"[""['explain']""]"
2202854,0.0,"[""['sixth'"", "" '6th']""]"
296178,0.0,"[""['adjust'"", "" 'set'"", "" 'correct']""]"
1000214,0.0,"[""['record'"", "" 'enter'"", "" 'put down']""]"
14421585,0.0,"[""['marriage']""]"
760402,0.0,"[""['commune'"", "" 'communicate']""]"
6400510,0.0,"[""['excerpt'"", "" 'excerption'"", "" 'extract'"", "" 'selection']""]"
2904223,0.0,"[""['managerial']""]"
1372948,0.0,"[""['charitable'"", "" 'benevolent'"", "" 'kindly'"", "" 'sympathetic'"", "" 'good-hearted'"", "" 'openhearted'"", "" 'large-hearted']""]"
331030,0.0,"[""['median'"", "" 'medial']""]"
13814336,0.0,"[""['brotherhood']""]"
2852920,0.0,"[""['marital'"", "" 'matrimonial'"", "" 'married']""]"
4746842,0.0,"[""['comparison'"", "" 'compare'"", "" 'equivalence'"", "" 'comparability']""]"
793037,0.0,"[""['convoke'"", "" 'convene']""]"
7331400,0.0,"[""['separation'"", "" 'breakup'"", "" 'detachment']""]"
905399,0.0,"[""['pardon']""]"
297755,0.0,"[""['competitive'"", "" 'free-enterprise'"", "" 'private-enterprise']""]"
7180183,0.0,"[""['harmony'"", "" 'concord'"", "" 'concordance']""]"
1158872,0.0,"[""['use'"", "" 'utilize'"", "" 'utilise'"", "" 'apply'"", "" 'employ']""]"
1875820,0.0,"[""['reciprocate']""]"
13870805,0.0,"[""['connection'"", "" 'connexion'"", "" 'link']""]"
13931627,0.0,"[""['membership']""]"
1048912,0.0,"[""['concealment'"", "" 'concealing'"", "" 'hiding']""]"
2704928,0.0,"[""['last'"", "" 'endure']""]"
3690695,0.0,"[""['lost-and-found']""]"
579367,0.0,"[""['sequester']""]"
765410,0.0,"[""['man-to-man']""]"
2752787,0.0,"[""['jihadi']""]"
8223802,0.0,"[""['community']""]"
908621,0.0,"[""['patronize'"", "" 'patronise'"", "" 'patronage'"", "" 'support'"", "" 'keep going']""]"
4076533,0.0,"[""['replica'"", "" 'replication'"", "" 'reproduction']""]"
2031158,0.0,"[""['separate'"", "" 'divide']""]"
1014990,0.0,"[""['gather'"", "" 'gathering']""]"
94396,0.0,"[""['downstairs'"", "" 'down the stairs'"", "" 'on a lower floor'"", "" 'below']""]"
18918,0.0,"[""['quite'"", "" 'quite a'"", "" 'quite an']""]"
368847,0.0,"[""['converge']""]"
2431320,0.0,"[""['separate'"", "" 'part'"", "" 'split up'"", "" 'split'"", "" 'break'"", "" 'break up']""]"
1076634,0.0,"[""['social']""]"
2023107,0.0,"[""['meet'"", "" 'run into'"", "" 'encounter'"", "" 'run across'"", "" 'come across'"", "" 'see']""]"
2470685,0.0,"[""['band together'"", "" 'confederate']""]"
354833,0.0,"[""['exchanged']""]"
472336,0.0,"[""['combinative'"", "" 'combinatory']""]"
2588677,0.0,"[""['befriend']""]"
1684811,0.0,"[""['aligning'"", "" 'positioning']""]"
1107751,0.0,"[""['centralized'"", "" 'centralised']""]"
2178348,0.0,"[""['interlacing'"", "" 'interlinking'"", "" 'interlocking'"", "" 'interwoven']""]"
7181935,0.0,"[""['dispute'"", "" 'difference'"", "" 'difference of opinion'"", "" 'conflict']""]"
788971,0.0,"[""['re-examine']""]"
1296091,0.0,"[""['past'"", "" 'preceding'"", "" 'retiring']""]"
2506922,0.0,"[""['many-sided'"", "" 'multifaceted'"", "" 'miscellaneous'"", "" 'multifarious']""]"
1220052,0.0,"[""['homologous']""]"
